rsu_id,vehicle_id,local_vehicle_index,num_examples,attack_count,benign_count,attack_fraction,feature_name,feature_mean,feature_std,feature_min,feature_max,feature_standardized_mean_shift
1,1001,1,197234,98617,98617,0.5,60,0.04366537583699777,2.805327647967328,-0.0063371555056741,216.38475883474743,-0.0011733039470594355
1,1002,2,197234,98617,98617,0.5,60,0.04929577446508961,2.9667513068433546,-0.0063371555056741,216.97492208901096,0.0007528028599394426
1,1003,3,197234,98617,98617,0.5,60,0.04877803482688752,2.9579019405513263,-0.0063371555056741,225.45615947437605,0.0005756889631686652
1,1004,4,197234,98617,98617,0.5,60,0.04276784392362306,2.7423786867727205,-0.0063371555056741,266.8657380912298,-0.0014803412355427965
1,1005,5,197234,98617,98617,0.5,60,0.05220078439005803,3.0559802553453737,-0.0063371555056741,266.8657380912298,0.001746579634991202
1,1006,6,197234,98617,98617,0.5,60,0.046624028414281045,2.9114073657697266,-0.0063371555056741,225.45615947437605,-0.00016117652144207942
1,1007,7,197234,98617,98617,0.5,60,0.05238379974737298,3.094411239182192,-0.0063371555056741,266.8657380912298,0.001809187480153512
1,1008,8,197232,98616,98616,0.5,60,0.03594302988209218,2.598797514734298,-0.0063371555056741,266.8657380912298,-0.0038150464047839194
1,1009,9,197232,98616,98616,0.5,60,0.04583214801039987,2.925193295641081,-0.0063371555056741,216.97492208901096,-0.0004320714148577271
1,1010,10,197232,98616,98616,0.5,60,0.03253385419071297,2.4583387693608603,-0.0063371555056741,216.97492208901096,-0.00498129358178815
2,2001,1,197234,98617,98617,0.5,60,0.049227285660070584,3.010549229865614,-0.0063371555056741,266.8657380912298,0.0007293734791328694
2,2002,2,197234,98617,98617,0.5,60,0.0489935050096456,2.957291975244235,-0.0063371555056741,216.38475883474743,0.0006493993011267939
2,2003,3,197234,98617,98617,0.5,60,0.041263654954668515,2.7457077065446303,-0.0063371555056741,206.1531651878033,-0.001994910239176177
2,2004,4,197234,98617,98617,0.5,60,0.06280729185491227,3.2930302307457606,-0.0063371555056741,225.45615947437605,0.005374966819623579
2,2005,5,197234,98617,98617,0.5,60,0.055921949916522454,3.169294480720721,-0.0063371555056741,266.8657380912298,0.0030195556219368602
2,2006,6,197234,98617,98617,0.5,60,0.04836389925992008,3.0187063478526124,-0.0063371555056741,266.8657380912298,0.0004340170519514909
2,2007,7,197234,98617,98617,0.5,60,0.04815198909143319,2.955975369843077,-0.0063371555056741,266.8657380912298,0.00036152456164033646
2,2008,8,197232,98616,98616,0.5,60,0.048008302169824484,2.9685597485719857,-0.0063371555056741,216.97492208901096,0.00031237060717494354
2,2009,9,197232,98616,98616,0.5,60,0.05238289589359399,3.0436761012302647,-0.0063371555056741,266.8657380912298,0.0018088782802138212
2,2010,10,197232,98616,98616,0.5,60,0.03675783481572662,2.6555964791297075,-0.0063371555056741,266.8657380912298,-0.003536309243756043
