rsu_id,round,expected_clients,successful_fit_results,fit_failures,success_fraction,admitted_clients,evidence_exclusions,full_evidence_materialized,rsu_anchor_zkp_ok
1,1,10,10,0,1.0,10,0,0,0
1,2,10,9,1,0.9,9,0,0,0
1,3,10,9,1,0.9,9,0,0,0
1,4,10,9,1,0.9,9,0,0,0
1,5,10,9,1,0.9,9,0,0,0
1,6,10,8,2,0.8,7,1,1,1
1,7,10,8,2,0.8,8,0,0,0
1,8,10,9,1,0.9,9,0,1,1
2,1,10,10,0,1.0,10,0,0,0
2,2,10,9,1,0.9,9,0,0,0
2,3,10,9,1,0.9,9,0,0,0
2,4,10,9,1,0.9,9,0,0,0
2,5,10,9,1,0.9,9,0,0,0
2,6,10,8,2,0.8,7,1,1,1
2,7,10,8,2,0.8,8,0,0,0
2,8,10,9,1,0.9,9,0,1,1
