protocol,evaluation_id,transition,prior_block,test_block,earlier_history_blocks,adaptation_fraction_requested,adaptation_rows,calibration_rows_from_prior_block,adaptation_actual_fraction,category,n,q01,q10,q50,q90,q99
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,calibration_attack,1,0.00794790219515562,0.00794790219515562,0.00794790219515562,0.00794790219515562,0.00794790219515562
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,test_benign,299989,0.00014544453006237745,0.0002627984795253724,0.0004992035101167858,0.0023964322172105312,0.013094944879412651
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,test_seen_attack,9,0.006074152681976557,0.010458577703684569,0.05110862851142883,0.05450953170657158,0.05450953170657158
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,test_novel_attack,2,0.0066110874526202675,0.009552055038511753,0.022623022086918354,0.035693989135324955,0.03863495672121644
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,calibration_benign,89998,0.00012667251576203853,0.00019091690774075687,0.0004330502706579864,0.0017858331557363272,0.01185537688434124
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,calibration_attack,2,0.008599573345854879,0.013681039866060018,0.0362653355114162,0.05884963115677238,0.06393109767697751
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,test_benign,297641,0.0001261069264728576,0.00019091690774075687,0.0004478940099943429,0.0017858331557363272,0.02382003366947138
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,test_seen_attack,0,,,,,
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,test_novel_attack,2359,0.00022652333427686244,0.001005068188533187,0.0017727137310430408,0.0027726804837584496,0.4529794692993343
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,calibration_benign,90000,0.000134743531816639,0.00023959227837622166,0.0005593645619228482,0.003837365424260497,0.1986374408006668
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,calibration_attack,0,,,,,
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,test_benign,298165,0.00012589474499691278,0.00022353461827151477,0.0005089786718599498,0.0029292572289705276,0.019509097561240196
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,test_seen_attack,1835,0.007246841192245483,0.7367663383483887,0.9776343107223511,0.9887935519218445,0.9950386357307435
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,test_novel_attack,0,,,,,
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,calibration_benign,89754,9.664443496149033e-05,0.00021081410523038357,0.0004737045965157449,0.0029200699646025896,0.03156144544482231
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,calibration_attack,246,0.02389134280383587,0.34210172295570374,0.9897124767303467,0.9955268502235413,0.9966947168111802
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,test_benign,293187,6.226703408174217e-05,0.00020480020612012595,0.00046111748088151217,0.0024993489496409893,0.026851464062929153
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,test_seen_attack,0,,,,,
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,test_novel_attack,6813,0.013669038191437721,0.02497890777885914,0.04574058577418327,0.05684922635555267,0.07069177180528641
