protocol,evaluation_id,transition,prior_block,test_block,earlier_history_blocks,adaptation_fraction_requested,adaptation_rows,calibration_rows_from_prior_block,adaptation_actual_fraction,attack_type,endpoint,rows,recall,hash_seen_in_train_rows,hash_novel_to_train_rows,hash_seen_recall,hash_novel_recall,score_q10,score_median,score_q90
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,WEB ATTACK - SQL - ATTEMPTED,novel_temporal,1,1.0,0,1,,1.0,0.038961730897426605,0.038961730897426605,0.038961730897426605
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,WEB ATTACK - XSS,seen_temporal,3,0.6666666666666666,0,3,,0.6666666666666666,0.020243085175752643,0.05450953170657158,0.05450953170657158
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,INFILTRATION - COMMUNICATION VICTIM ATTACKER,novel_temporal,3,0.0,0,3,,0.0,0.0002926343353465199,0.00033156457357108593,0.0003813535440713167
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,INFILTRATION - DROPBOX DOWNLOAD,novel_temporal,1,0.0,0,1,,0.0,0.0005158018320798874,0.0005158018320798874,0.0005158018320798874
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,INFILTRATION - NMAP PORTSCAN,novel_temporal,2355,0.04925690021231423,0,2355,,0.04925690021231423,0.001005068188533187,0.0017727137310430408,0.0027726804837584496
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,INFILTRATION - COMMUNICATION VICTIM ATTACKER,seen_temporal,3,0.0,0,3,,0.0,0.0005841018166393042,0.0014624664327129722,0.001558951078914106
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,INFILTRATION - DROPBOX DOWNLOAD,seen_temporal,1,0.0,0,1,,0.0,0.0006804223521612585,0.0006804223521612585,0.0006804223521612585
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,INFILTRATION - NMAP PORTSCAN,seen_temporal,1831,0.9503003823047516,0,1831,,0.9503003823047516,0.7393477559089661,0.9776343107223511,0.9887935519218445
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,BOTNET ARES,novel_temporal,6799,0.640094131489925,0,6799,,0.640094131489925,0.02497890777885914,0.04574058577418327,0.05684922635555267
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,BOTNET ARES - ATTEMPTED,novel_temporal,14,1.0,0,14,,1.0,0.5418728530406952,0.5937324464321136,0.6263597488403321
