protocol,evaluation_id,transition,prior_block,test_block,earlier_history_blocks,adaptation_fraction_requested,adaptation_rows,calibration_rows_from_prior_block,adaptation_actual_fraction,target_development_fpr,threshold,seen_attack_rows,seen_temporal_recall,seen_temporal_precision,seen_temporal_f1,seen_temporal_test_fpr,combined_recall,combined_test_fpr
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,0.001,0.7014701366424562,9,0.0,0.0,0.0,0.0004733506895252826,0.0,0.0004733506895252826
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,0.005,0.0676884949207306,9,0.0,0.0,0.0,0.0037301367716816285,0.0,0.0037301367716816285
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,0.01,0.020905755460262302,9,0.6666666666666666,0.0027137042062415195,0.005405405405405406,0.007350269509882029,0.6363636363636364,0.007350269509882029
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,0.02,0.007567436899989844,9,0.8888888888888888,0.0016,0.003194250349371132,0.01664061015570571,0.8181818181818182,0.01664061015570571
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,0.05,0.0035683144815266137,9,1.0,0.0006755235307363207,0.0013501350135013501,0.0443816273263353,1.0,0.0443816273263353
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,0.001,0.33231583237648016,0,,,,,0.0105977108944468,0.000638352915088983
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,0.005,0.027238804847002033,0,,,,,0.04578211106401017,0.00785174085559449
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,0.01,0.011855376884341242,0,,,,,0.04917337855023315,0.01450740993344331
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,0.02,0.006356416735798121,0,,,,,0.05426027977956761,0.02483528814914612
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,0.05,0.002929870039224625,0,,,,,0.06485799067401442,0.051384049912478455
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,0.001,0.517117202281952,1835,0.9209809264305178,0.9214830970556162,0.9212319433088035,0.0004829540690557242,0.9209809264305178,0.0004829540690557242
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,0.005,0.41555863618850714,1835,0.9307901907356948,0.8840579710144928,0.906822405096894,0.0007512618851977931,0.9307901907356948,0.0007512618851977931
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,0.01,0.19863744080066684,1835,0.9482288828337875,0.8,0.8678304239401496,0.0014589237502725002,0.9482288828337875,0.0014589237502725002
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,0.02,0.07459714263677598,1835,0.9618528610354223,0.6486585814038957,0.7748024582967515,0.003206278402897724,0.9618528610354223,0.003206278402897724
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,0.05,0.013434940017759802,1835,0.9814713896457765,0.241777419787891,0.38797931925894014,0.01894253181963007,0.9814713896457765,0.01894253181963007
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,0.001,0.5039439201354982,0,,,,,0.0019081168354616175,0.000716266410175076
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,0.005,0.05342682451009751,0,,,,,0.4172904740936445,0.004478370459808928
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,0.01,0.03156144544482232,0,,,,,0.6408337002788786,0.008059702510684308
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,0.02,0.015784701332449916,0,,,,,0.9637457801262292,0.016238782756397795
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,0.05,0.007483587600290776,0,,,,,0.9957434316747394,0.040390603949015474
