protocol,evaluation_id,split_contract,cut70_row,cut85_row,train_rows,calibration_rows,test_rows,train_fraction,calibration_fraction,test_fraction,timestamp_safe,attack_type,endpoint,rows,recall,hash_seen_in_train_rows,hash_novel_to_train_rows,hash_seen_recall,hash_novel_recall,score_q10,score_median,score_q90
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,BOTNET ARES,novel_temporal,6799,0.0,0,6799,,0.0,0.000966362829785794,0.0016364845214411616,0.002349799731746316
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,BOTNET ARES - ATTEMPTED,novel_temporal,14,0.0,0,14,,0.0,0.0021150943357497454,0.012376817874610424,0.012376817874610424
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,INFILTRATION - COMMUNICATION VICTIM ATTACKER,novel_temporal,2,0.0,0,2,,0.0,0.00012493383110268041,0.0001865145386545919,0.00024809524620650336
terminal_70_15_15,terminal_70_15_15,timestamp_safe_approximately_70_15_15,2100000,2550000,2100000,450000,450000,0.7,0.15,0.15,True,INFILTRATION - NMAP PORTSCAN,novel_temporal,745,0.056375838926174496,0,745,,0.056375838926174496,0.0006379979313351214,0.0013017066521570086,0.0018789557507261634
