protocol,evaluation_id,transition,prior_block,test_block,earlier_history_blocks,adaptation_fraction_requested,adaptation_rows,calibration_rows_from_prior_block,adaptation_actual_fraction,train_rows,calibration_rows,test_rows,train_attack_type_count,seen_test_attack_type_count,novel_test_attack_type_count,seen_attack_rows,novel_attack_rows,primary_threshold,calibration_empirical_fpr,test_benign_fpr,seen_temporal_accuracy,seen_temporal_precision,seen_temporal_recall,seen_temporal_f1,seen_temporal_balanced_accuracy,seen_temporal_mcc,seen_temporal_test_fpr,seen_temporal_auc,seen_temporal_tn,seen_temporal_fp,seen_temporal_fn,seen_temporal_tp,combined_recall,combined_precision,combined_f1,combined_test_fpr,combined_auc,novel_diagnostic_recall,seen_attack_rows_hash_seen_in_train,seen_attack_rows_hash_novel_to_train,seen_attack_recall_hash_seen_in_train,seen_attack_recall_hash_novel_to_train,fit_seconds,status,exclusion_reason
adaptive_supervised_refresh,adaptive_test_B2,B1->B2,1,2,none,0.7,210000,90000,0.7,210000,90000,300000,2,1,4,2360,1807,0.0718425437808037,0.005216448750084683,0.005367893372274222,0.9946745899467795,0.5977710233029382,1.0,0.7482561826252377,0.997316053313863,0.7710786290572531,0.005367893372274222,1.0,294245.0,1588.0,0.0,2360.0,0.9512838972882169,0.7139769452449568,0.8157217820763453,0.005367893372274222,0.9951965250736456,0.8876591034864416,320,2040,1.0,1.0,10.56995370000368,eligible,
adaptive_supervised_refresh,adaptive_test_B3,B2->B3,2,3,B1-B1,0.7,210000,90000,0.7,510000,90000,300000,6,1,2,2676,85560,0.05412324890494347,0.00843222272934733,0.007489469409342475,0.992603991792576,0.6278742374472079,1.0,0.7714038627846642,0.9962552652953287,0.7894123083363552,0.007489469409342475,0.9999941977883324,210178.0,1586.0,0.0,2676.0,1.0,0.9823428558704994,0.9910927899897786,0.007489469409342475,0.9999872787075137,1.0,328,2348,1.0,1.0,4.330464699989534,eligible,
adaptive_supervised_refresh,adaptive_test_B4,B3->B4,3,4,B1-B2,0.7,210000,90000,0.7,810000,90000,300000,8,0,3,0,13777,0.03968688845634461,0.006988888888888889,0.009076838688714743,,,,,,,,,,,,,0.0,0.0,0.0,0.009076838688714743,0.883268933316694,0.0,0,0,,,8.022672999999486,no_seen_attack_rows,zero_seen_attack_rows_in_test
adaptive_supervised_refresh,adaptive_test_B5,B4->B5,4,5,B1-B3,0.7,210000,90000,0.7,1110000,90000,300000,11,2,1,88,51349,0.01998001150786877,0.009755555555555556,0.007664052976508974,0.9923064857973626,0.04030226700251889,0.9090909090909091,0.07718282682103232,0.9507134280572,0.1905264031407328,0.007664052976508974,0.9930244957104345,246658.0,1905.0,8.0,80.0,0.9998444699340941,0.964281696478794,0.9817411306563839,0.007664052976508974,0.9995908673501854,1.0,0,88,,0.9090909090909091,10.989070499999798,eligible,
adaptive_supervised_refresh,adaptive_test_B6,B5->B6,5,6,B1-B4,0.7,210000,90000,0.7,1410000,90000,300000,12,0,4,0,9,0.012536364607512953,0.009999346447944578,0.011657016377157981,,,,,,,,,,,,,0.6666666666666666,0.0017128175849272054,0.003416856492027335,0.011657016377157981,0.9859825424392361,0.6666666666666666,0,0,,,13.793445500006783,no_seen_attack_rows,zero_seen_attack_rows_in_test
adaptive_supervised_refresh,adaptive_test_B7,B6->B7,6,7,B1-B5,0.7,210000,90000,0.7,1710000,90000,300000,15,3,2,9,2,0.020905755460262302,0.009855665062945143,0.007350269509882029,0.9926399509330062,0.0027137042062415195,0.6666666666666666,0.005405405405405406,0.8296581985783923,0.04222022642323599,0.007350269509882029,0.9922991620803874,297784.0,2205.0,3.0,6.0,0.6363636363636364,0.0031645569620253164,0.006297795771479982,0.007350269509882029,0.9912877108524283,0.5,0,9,,0.6666666666666666,9.886758400010876,eligible,
adaptive_supervised_refresh,adaptive_test_B8,B7->B8,7,8,B1-B6,0.7,210000,90000,0.7,2010000,90000,300000,16,0,3,0,2359,0.011855376884341242,0.009989110869130425,0.01450740993344331,,,,,,,,,,,,,0.04917337855023315,0.02616147947677041,0.034152804357426764,0.01450740993344331,0.8382308063983906,0.04917337855023315,0,0,,,11.979637399999774,no_seen_attack_rows,zero_seen_attack_rows_in_test
adaptive_supervised_refresh,adaptive_test_B9,B8->B9,8,9,B1-B7,0.7,210000,90000,0.7,2310000,90000,300000,20,3,0,1835,0,0.19863744080066684,0.009722222222222222,0.0014589237502725002,0.9982333333333333,0.8,0.9482288828337875,0.8678304239401496,0.9733849795417575,0.8701229610117547,0.0014589237502725002,0.9970441927921427,297730.0,435.0,95.0,1740.0,0.9482288828337875,0.8,0.8678304239401496,0.0014589237502725002,0.9970441927921427,,0,1835,,0.9482288828337875,14.798234300003969,eligible,
adaptive_supervised_refresh,adaptive_test_B10,B9->B10,9,10,B1-B8,0.7,210000,90000,0.7,2610000,90000,300000,20,0,2,0,6813,0.03156144544482232,0.008746128306259331,0.008059702510684308,,,,,,,,,,,,,0.6408337002788786,0.6488334076385793,0.644808743169399,0.008059702510684308,0.992402515683749,0.6408337002788786,0,0,,,17.508009299999685,no_seen_attack_rows,zero_seen_attack_rows_in_test
