dataset,method,metric,n,seeds,mean,sample_sd,reported_ci_low,reported_ci_high,exact_bootstrap_ci_low,exact_bootstrap_ci_high,exact_ci_low_6dp,exact_ci_high_6dp,low_match_6dp,high_match_6dp,pair_match_6dp,low_difference_exact_minus_reported,high_difference_exact_minus_reported,ci_method
CSE-CIC-IDS2018,dp,roc_auc,10,42-51,0.999272029800689,0.000334286319367006,0.999054,0.999439,0.999053308861733,0.999438874310479,0.999053,0.999439,False,True,False,-6.91138266839531e-07,-1.25689520680261e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,centralized,accuracy,10,42-51,0.999989111549805,5.48920769352755e-06,0.999986,0.999992,0.999985797673659,0.999992425425951,0.999986,0.999992,True,True,True,-2.02326341125492e-07,4.25425951355862e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,centralized,precision,10,42-51,0.999989158716392,2.43910291164489e-05,0.999975,1,0.999974703671581,1,0.999975,1,True,True,True,-2.96328418580849e-07,0,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,centralized,recall,10,42-51,0.999927724775947,3.80923877345035e-05,0.999906,0.999949,0.999906042208731,0.999949407343163,0.999906,0.999949,True,True,True,4.22087307327956e-08,4.07343162756035e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,centralized,f1,10,42-51,0.999958440276921,2.09518614453299e-05,0.999946,0.999971,0.999945791492348,0.999971088865592,0.999946,0.999971,True,True,True,-2.08507651811018e-07,8.88655923292347e-08,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,centralized,roc_auc,10,42-51,0.9999999543459,2.32359063260735e-08,1,1,0.999999940250025,0.999999967477114,1,1,True,True,True,-5.97499753007824e-08,-3.25228862729787e-08,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,nondp,accuracy,10,42-51,0.999987217906293,5.48920769351797e-06,0.999984,0.99999,0.999983904030147,0.999990058371561,0.999984,0.99999,True,True,True,-9.59698532865261e-08,5.83715612512137e-08,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,nondp,precision,10,42-51,1,0,1,1,1,1,1,1,True,True,True,0,0,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,nondp,recall,10,42-51,0.999902428447528,4.19016265079294e-05,0.999877,0.999924,0.99987713211911,0.999924111014744,0.999877,0.999924,True,True,True,1.32119109652606e-07,1.11014744286209e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,nondp,f1,10,42-51,0.999951211448491,2.09531129634651e-05,0.999939,0.999962,0.999938561814971,0.999962053972842,0.999939,0.999962,True,True,True,-4.38185028928118e-07,5.39728424175934e-08,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,nondp,roc_auc,10,42-51,0.99999993995472,2.35778435076253e-08,1,1,0.999999925858844,0.999999953459986,1,1,True,True,True,-7.41411557703131e-08,-4.65400138427441e-08,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,dp,accuracy,10,42-51,0.99986744495415,0.000151819882572691,0.999772,0.999952,0.999773236189421,0.99995171209044,0.999773,0.999952,False,True,False,1.23618942116099e-06,-2.87909559526511e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,dp,precision,10,42-51,0.999076826652887,0.00114592877844493,0.99836,0.999715,0.998363024835392,0.999715294796021,0.998363,0.999715,False,True,False,3.02483539205145e-06,2.94796021260701e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,dp,recall,10,42-51,0.999913269731136,4.87820582328741e-05,0.999884,0.999942,0.999884359641515,0.999942179820758,0.999884,0.999942,True,True,True,3.59641514902087e-07,1.79820757506555e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,dp,f1,10,42-51,0.999494581353576,0.000578694228337093,0.999132,0.999816,0.999135365745788,0.999815786136573,0.999135,0.999816,False,True,False,3.36574578840843e-06,-2.13863427411809e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
CICIoV2024,dp,roc_auc,10,42-51,0.999995674436454,4.91989031013312e-06,0.999993,0.999998,0.999992710817983,0.999998430947926,0.999993,0.999998,True,True,True,-2.89182017443324e-07,4.30947925567082e-07,Exact nonparametric percentile bootstrap of the mean; all n^n ordered resamples represented via weighted multinomial count-vector enumeration; NumPy-linear 2.5th/97.5th percentiles
