dataset,seed,method,metric,value,source_summary
CSE-CIC-IDS2018,44,centralized,recall,0.994812974868498,experiments/02_multiseed/results/CSECICIDS2018/seed_44/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,44,centralized,f1,0.9969798473450112,experiments/02_multiseed/results/CSECICIDS2018/seed_44/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,44,centralized,roc_auc,0.9999335019449804,experiments/02_multiseed/results/CSECICIDS2018/seed_44/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,44,nondp,accuracy,0.999484445590121,experiments/02_multiseed/results/CSECICIDS2018/seed_44/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,44,nondp,precision,0.997872340425532,experiments/02_multiseed/results/CSECICIDS2018/seed_44/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,44,nondp,recall,0.9936440677966102,experiments/02_multiseed/results/CSECICIDS2018/seed_44/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,44,nondp,f1,0.9957537154989384,experiments/02_multiseed/results/CSECICIDS2018/seed_44/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,44,nondp,roc_auc,0.9997662816378045,experiments/02_multiseed/results/CSECICIDS2018/seed_44/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,44,dp,accuracy,0.9983200037333251,experiments/02_multiseed/results/CSECICIDS2018/seed_44/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,44,dp,precision,0.9903477748305335,experiments/02_multiseed/results/CSECICIDS2018/seed_44/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,44,dp,recall,0.9819549970777324,experiments/02_multiseed/results/CSECICIDS2018/seed_44/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,44,dp,f1,0.9861335289801908,experiments/02_multiseed/results/CSECICIDS2018/seed_44/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,44,dp,roc_auc,0.9994887902382257,experiments/02_multiseed/results/CSECICIDS2018/seed_44/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,45,centralized,accuracy,0.9996666674074057,experiments/02_multiseed/results/CSECICIDS2018/seed_45/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,45,centralized,precision,0.9975147107196375,experiments/02_multiseed/results/CSECICIDS2018/seed_45/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,45,centralized,recall,0.9970045662100456,experiments/02_multiseed/results/CSECICIDS2018/seed_45/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,45,centralized,f1,0.9972595732242034,experiments/02_multiseed/results/CSECICIDS2018/seed_45/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,45,centralized,roc_auc,0.9998861401620963,experiments/02_multiseed/results/CSECICIDS2018/seed_45/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,45,nondp,accuracy,0.9994111124197502,experiments/02_multiseed/results/CSECICIDS2018/seed_45/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,45,nondp,precision,0.9973581859543553,experiments/02_multiseed/results/CSECICIDS2018/seed_45/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,45,nondp,recall,0.9929497716894977,experiments/02_multiseed/results/CSECICIDS2018/seed_45/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,45,nondp,f1,0.9951490966336561,experiments/02_multiseed/results/CSECICIDS2018/seed_45/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,45,nondp,roc_auc,0.9997120706073725,experiments/02_multiseed/results/CSECICIDS2018/seed_45/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,45,dp,accuracy,0.9978066715407299,experiments/02_multiseed/results/CSECICIDS2018/seed_45/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,45,dp,precision,0.9936026936026936,experiments/02_multiseed/results/CSECICIDS2018/seed_45/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,45,dp,recall,0.9701917808219178,experiments/02_multiseed/results/CSECICIDS2018/seed_45/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,45,dp,f1,0.981757693373995,experiments/02_multiseed/results/CSECICIDS2018/seed_45/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,45,dp,roc_auc,0.9994554659087701,experiments/02_multiseed/results/CSECICIDS2018/seed_45/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,46,centralized,accuracy,0.9996555563209859,experiments/02_multiseed/results/CSECICIDS2018/seed_46/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,46,centralized,precision,0.9984228286384976,experiments/02_multiseed/results/CSECICIDS2018/seed_46/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,46,centralized,recall,0.995902389053525,experiments/02_multiseed/results/CSECICIDS2018/seed_46/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,46,centralized,f1,0.9971610161730498,experiments/02_multiseed/results/CSECICIDS2018/seed_46/centralized/centralized_xgboost_CSECICIDS2018_summary.json
