rsu_id,vehicle_id,local_vehicle_index,num_examples,attack_count,benign_count,attack_fraction,feature_name,feature_mean,feature_std,feature_min,feature_max,feature_standardized_mean_shift
1,1001,1,206782,168405,38377,0.8144084107901075,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
1,1002,2,61649,53652,7997,0.8702817563950753,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
1,1003,3,308840,268776,40064,0.8702758710011657,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
1,1004,4,366473,3222,363251,0.008791916457692653,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
1,1005,5,60353,20936,39417,0.3468924494225639,60,-0.006337155505674099,1.734723475976807e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
1,1006,6,60353,50598,9755,0.8383676039302106,60,-0.006337155505674099,1.734723475976807e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
1,1007,7,176352,2023,174329,0.01147137543095627,60,-0.006337155505674099,1.734723475976807e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
1,1008,8,118251,2743,115508,0.023196421171913978,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
1,1009,9,154826,14227,140599,0.09189025099143555,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
1,1010,10,72945,60051,12894,0.823236685173761,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
2,2001,1,346844,222009,124835,0.6400831497733852,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
2,2002,2,316534,275472,41062,0.8702761788623024,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
2,2003,3,166809,145169,21640,0.8702707887464106,60,-0.006337155505674099,1.734723475976807e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
2,2004,4,433518,242714,190804,0.5598706397427557,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
2,2005,5,239410,87545,151865,0.3656697715216574,60,-0.006337155505674099,1.734723475976807e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
2,2006,6,72536,20944,51592,0.2887393845814492,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
2,2007,7,219049,127141,91908,0.5804226451615848,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
2,2008,8,66317,44448,21869,0.670235384592186,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
2,2009,9,346548,81405,265143,0.23490252432563455,60,-0.006337155505674098,2.6020852139652106e-18,-0.0063371555056741,-0.0063371555056741,-0.018278703111120908
2,2010,10,150279,80854,69425,0.5380259384212033,60,1.396206271067653,14.913351114527304,-0.0063371555056741,266.8657380912298,0.46151830940519256
